keys,en,nl,de
t0b10ff1694,...,…,
td99fba69ae,"Okay, okay, almost ready.","Oké, oké, bijna klaar…",
t5640678064,Booting this up...,Ik start hem nu op…,
t89d5ed2e72,And... voila!,En voilà!,
t197ccd47dd,"Okay, test, test.","Test, test.",
t31e81bac6f,Seems that it's working.,Het lijkt dat hij het doet.,
t3c75e53500,Recodring 1. Now in session.,Opname één. Nu bezig.,
tb03a522efd,"Greetings, this is Dr. Rensselaer.",Hallo! Ik ben Dr. Rensselaer.,
t3a84426980,"I am currently working on the Smart Scanner, Beta version.",Op dit moment werk ik aan de Slimme Scanner, het zit nog wel in een experimentele fase.
t527c1d927c,This project was requested by the local hospital for help.,Het plaatselijke ziekenhuis heeft om dit project gevraagd.,
tf96513d022,The scanner's goal is to check the quality of the products at the hospital.,Het hoofddoel ervan is om de kwaliteit van verschillende producten te controleren die het ziekenhuis inkomen.,
t8dd8088487,"This way, we can ensure the health and safety of the patients.",Op deze manier kunnen we de gezondheid en veiligheid van patiënten garanderen.,
tc11139e837,"Before we can start testing the scanner, however...",Voordat we echter met de automatische scanner beginnen…,
t5cede7344b,We need to do some manual work.,Moeten we handmatig aan de slag.,
t510f87a953,Let me explain.,Ik zal het uitleggen.,
t7d0a05933d,"If we want an actual smart scanner, it needs to receive some input from us first. We need to establish the rules.",Een echt slimme scanner heeft wat hulp van ons nodig. We moeten de machine vertellen wat hij moet doen.,
td3a942c922,"So in this stage, we will label the data that the scanner will use to get smarter.",In de eerste fase labellen we de data die onze scanner zal gebruiken om slimmer te worden.,
t739b27a71f,Do you see that apple on the table? That's our current object.,Zie je die appel die op tafel ligt? Die gaan we analyseren!,
t92e1029465,"It looks pretty normal, so let's tell the scanner that it can accept it.","Hij ziet er goed uit, dus laten we onze scanner vertellen dat het goed is.",
t9958fcea37,Good!,Mooi!,
t304e80bfec,The scanner will now know that this sort of apple was good.,De scanner weet nu dat deze appel goed was.,
tb94f69ec36,"It will not know exactly why this one was good, but it will learn that later.","Hij weet niet waarom hij goed was, maar dat gaat hij later nog leren. ",
te89010bf91,"In fact,different object properties like its colors, shape and size will allow the scanner to decide if the object is good and which category it belongs to.","Sterker nog, alle eigenschappen zoals de kleur, vorm en grootte helpen de scanner om te bepalen of het object nog goed is, en te herkennen *wat* het is.",
t57edc984f6,But I'm getting ahead of myself.,Maar ik loop wat te hard van stapel.,
t2709ebce9f,"Right now, there is another apple here.",Er ligt hier nu nog één appel.,
t376a379052,But this one does not look good at all.,Maar deze ziet er helemaal niet goed uit.,
ta71cc05709,So let's reject it.,Dus laten we hem weigeren.,
t35b0a4c813,Good!,Goed zo!,
t7228973bee,"Or, in this case, bad...","Nou ja, de appel was niet zo goed, maar jouw antwoord wel.",
tc9224103fd,"Anyways, that was the correct answer.","Hoe dan ook, je hebt het juiste antwoord gegeven.",
